reference,amount,type,date
115,2546.0,Other,2000-01-02
2079,-8448.0,Groceries,2000-01-02
1129,3966.0,Tips,2000-01-02
8830,-9071.0,Health Insurance,2000-01-04
940,-6262.0,Leisure,2000-01-04
5295,5455.0,Tips,2000-01-05
455,-6024.0,Subscriptions,2000-01-05
6740,-6909.0,Food,2000-01-05
2845,-5741.0,Food,2000-01-06
365,851.0,Tips,2000-01-08
1138,5089.0,Tips,2000-01-08
3217,-4468.0,Food,2000-01-08
1280,2782.0,Other,2000-01-09
2921,4455.0,Other,2000-01-09
7430,-2855.0,Subscriptions,2000-01-12
2573,3543.0,Tips,2000-01-13
9234,6932.0,Salary,2000-01-15
2730,-8295.0,Health Insurance,2000-01-15
6544,1398.0,Salary,2000-01-16
6938,-3139.0,Groceries,2000-01-16
7065,-988.0,Investments,2000-01-16
7621,-1646.0,Subscriptions,2000-01-17
3125,3761.0,Other,2000-01-17
4696,-3538.0,Subscriptions,2000-01-18
2439,2252.0,Salary,2000-01-18
7850,7832.0,Tips,2000-01-19
5170,-5558.0,Subscriptions,2000-01-19
4301,4238.0,Salary,2000-01-20
1222,-8107.0,Health Insurance,2000-01-21
1270,-9029.0,Subscriptions,2000-01-21
7474,3715.0,Salary,2000-01-22
9053,-2807.0,Investments,2000-01-24
3759,9583.0,Other,2000-01-24
23,642.0,Salary,2000-01-25
4131,7259.0,Salary,2000-01-25
5761,4286.0,Other,2000-01-26
294,-2337.0,Health Insurance,2000-01-27
6962,1975.0,Tips,2000-01-28
2714,-7337.0,Health Insurance,2000-01-28
6038,-9230.0,Investments,2000-01-29
8233,-7102.0,Groceries,2000-01-31
1940,-4194.0,Food,2000-01-31
7047,-6101.0,Subscriptions,2000-02-01
5425,-5781.0,Food,2000-02-04
9116,-8259.0,Investments,2000-02-05
1960,3493.0,Tips,2000-02-06
2085,4506.0,Tips,2000-02-07
8682,-5910.0,Leisure,2000-02-07
9214,2626.0,Tips,2000-02-08
9064,4257.0,Tips,2000-02-10
6797,-6841.0,Investments,2000-02-11
6415,-9128.0,Subscriptions,2000-02-12
2200,7018.0,Salary,2000-02-12
6085,2224.0,Salary,2000-02-12
2080,7367.0,Tips,2000-02-13
7336,-7114.0,Leisure,2000-02-14
4150,-8169.0,Investments,2000-02-14
394,104.0,Other,2000-02-15
3454,6114.0,Salary,2000-02-15
776,5271.0,Other,2000-02-15
3960,8774.0,Salary,2000-02-15
2282,414.0,Other,2000-02-16
4378,-7385.0,Health Insurance,2000-02-18
1271,-3556.0,Groceries,2000-02-19
547,-4844.0,Food,2000-02-19
7742,-5647.0,Groceries,2000-02-19
7468,-9323.0,Health Insurance,2000-02-20
6370,-7771.0,Health Insurance,2000-02-22
7244,4751.0,Tips,2000-02-22
6588,-2271.0,Health Insurance,2000-02-22
6809,-5358.0,Health Insurance,2000-02-23
4512,-8735.0,Investments,2000-02-23
6477,2100.0,Other,2000-02-23
8774,-4840.0,Food,2000-02-23
4921,5563.0,Other,2000-02-24
5569,-1887.0,Groceries,2000-02-25
4812,-751.0,Groceries,2000-02-25
8579,-9501.0,Health Insurance,2000-02-27
8603,1989.0,Other,2000-02-27
696,-7837.0,Investments,2000-02-28
8889,-9932.0,Investments,2000-02-28
479,2871.0,Other,2000-02-28
325,-6302.0,Health Insurance,2000-03-01
4417,-4294.0,Health Insurance,2000-03-01
3513,-2171.0,Leisure,2000-03-01
860,-4463.0,Food,2000-03-01
8892,5652.0,Salary,2000-03-03
9405,-9573.0,Subscriptions,2000-03-03
3222,-8734.0,Subscriptions,2000-03-03
369,8880.0,Other,2000-03-03
6029,9975.0,Tips,2000-03-05
8733,-2646.0,Health Insurance,2000-03-08
3896,-8038.0,Investments,2000-03-10
2422,6217.0,Tips,2000-03-10
1031,777.0,Salary,2000-03-11
7235,2123.0,Tips,2000-03-12
5554,6747.0,Salary,2000-03-12
4085,-6488.0,Leisure,2000-03-13
6599,3838.0,Other,2000-03-13
6353,-2842.0,Food,2000-03-14
1810,-4388.0,Subscriptions,2000-03-14
6947,8938.0,Salary,2000-03-14
753,-7679.0,Health Insurance,2000-03-16
5632,3810.0,Salary,2000-03-16
7945,9119.0,Other,2000-03-16
6508,-2936.0,Groceries,2000-03-16
5223,6598.0,Salary,2000-03-17
4573,4540.0,Salary,2000-03-18
4070,-4399.0,Health Insurance,2000-03-19
8324,7570.0,Other,2000-03-20
2861,6637.0,Other,2000-03-20
8696,-2238.0,Investments,2000-03-21
2057,-816.0,Subscriptions,2000-03-21
6865,8363.0,Salary,2000-03-21
6373,-3997.0,Groceries,2000-03-23
7803,-4195.0,Health Insurance,2000-03-23
5121,1736.0,Salary,2000-03-23
1754,-4617.0,Subscriptions,2000-03-25
282,5887.0,Salary,2000-03-27
4331,5439.0,Salary,2000-03-29
4884,-1415.0,Leisure,2000-03-29
3086,-8933.0,Leisure,2000-04-01
1427,-392.0,Leisure,2000-04-02
